Name-CN,Name-EN,图标分类-CN,图标分类-EN,图标预览,图标标签,UI 设计负责人,预计完成时间
信息,info,"常用图标,符号","Character",info.svg (https://dl.airtable.com/.attachments/e8cb60a4ee35cfe56f3a1115ac04804a/0f043ce1/info.svg),注解，信息，提示,刘心乐,2019-03-22
时间,time,时间,Time,time.svg (https://dl.airtable.com/.attachments/cb8e1b5039168d140bb3b173279a073f/10630d78/time.svg),钟表，时间，倒计时,齐 奉飞,2019-03-26
关闭,close-one,"常用图标,符号","Character",close2.svg (https://dl.airtable.com/.attachments/ce038485e491e908cf637835a2a80c3f/ecb66e94/close2.svg),删除，清除，错误,刘心乐,2019-03-22
校验,check-one,"常用图标,符号","Character",check1.svg (https://dl.airtable.com/.attachments/cebbad0deafd52497a9c879d4bb02348/ace2859a/check1.svg),勾选，选中，对号，完成,刘心乐,2019-03-22
减少,reduce-one,"常用图标,符号","Character",reduce.svg (https://dl.airtable.com/.attachments/af2752e94d08c0c9f5db845f944bdcbf/3c3a37da/reduce.svg),未全选，减号，不允许，禁止,常留留 常,2019-03-19
雷达,radar,常用图标,Base,radar.svg (https://dl.airtable.com/.attachments/bb20f8549042c2da43a5ed0ac3794b55/66dcd058/radar.svg),雷达，瞄准，聚焦,齐 奉飞,2019-05-29
历史记录,history,常用图标,Base,history.svg (https://dl.airtable.com/.attachments/337402ac20fb92b27219912678bd7441/404673a3/history.svg),历史，记录，时光机,常留留 常,2019-03-26
加载,loading-three,常用图标,Base,加载备份 2.svg (https://dl.airtable.com/.attachments/e0059b7e4202966dfabdeec8d0916dff/461c549a/2.svg),等待，加载，转圈，缓冲,金 磊,2019-10-12
瞄准,aiming,常用图标,Base,aiming.svg (https://dl.airtable.com/.attachments/22a777c16175ec0d4b1019745199bf68/7d992443/aiming.svg),瞄准，聚焦，关注，锁定,常留留 常,2019-05-30
刷新,refresh,常用图标,Base,refresh1.svg (https://dl.airtable.com/.attachments/db14e607cc0f4fb6a3856af59439ec75/229ae88d/refresh1.svg),刷新，旋转，切换,齐 奉飞,2019-03-21
重新,redo,常用图标,Base,redo.svg (https://dl.airtable.com/.attachments/36dd2e0de0bc3fdd0327bdb75ddecb0c/18a51037/redo.svg),重做，再做,刘心乐,2019-03-21
撤销,undo,常用图标,Base,undo.svg (https://dl.airtable.com/.attachments/b2f88158a376cbc713014dc8918b4190/cfc0b477/undo.svg),撤销，返回，驳回，,刘心乐,2019-03-21
手电筒,flashlight,常用图标,Base,flashlight.svg (https://dl.airtable.com/.attachments/3014f720337bc48938ad5c5cefc8c28b/d4da2430/flashlight.svg),手电，光芒，点灯,齐 奉飞,2019-05-28
书签,bookmark-one,常用图标,Base,bookmark2.svg (https://dl.airtable.com/.attachments/1312dfb03ae5429aabcf379810431b38/664a0a06/bookmark2.svg),书签，多书签,齐 奉飞,2019-05-30
标签,tag-one,常用图标,Base,note.svg (https://dl.airtable.com/.attachments/095a9bd4c12fb3a3b711b63cce2afc81/e92ebed6/note.svg),便签，note，折扣，标记,刘心乐,2019-03-22
已定位,local,常用图标,Base,local.svg (https://dl.airtable.com/.attachments/2947caeb136d87d4ef9dce326aa42757/be61f8d5/local.svg),位置，坐标，地点,齐 奉飞,2019-05-28
导航,navigation,常用图标,Base,navigation.svg (https://dl.airtable.com/.attachments/39519e9e651af3a61c8f3f4c2a7de2df/0e2948c7/navigation.svg),指针，方向，指引，指针，导航,常留留 常,2019-05-29
预览-打开,preview-open,常用图标,Base,preview-open.svg (https://dl.airtable.com/.attachments/edc229f496cb1ec1c4a089574866a0e5/cdd188ac/preview-open.svg),可见，眼睛，打开,齐 奉飞,2019-03-26
预览-关闭,preview-close,常用图标,Base,preview-close.svg (https://dl.airtable.com/.attachments/d4619879df0b3643aa633f99c1df4b4f/3ad46be4/preview-close.svg),隐藏，不可见，眼睛，关闭,齐 奉飞,2019-03-26
预览-关闭,preview-close-one,常用图标,Base,eye-off.svg (https://dl.airtable.com/.attachments/d851b48c1a9cb41a1d610af4ff68b5ff/1b3b54b1/eye-off.svg),隐藏，不可见，眼睛，关闭,常留留 常,2020-01-17
